age,job,marital,education,balance,y,sub_prob,decile
49,services,divorced,secondary,0,0,0.19028579,2
55,services,divorced,secondary,1,0,0.18337928,2
45,admin.,single,secondary,206,0,0.21527065,3
47,services,divorced,secondary,164,0,0.2311542,3
42,technician,single,secondary,690,0,0.26925844,4
59,admin.,married,secondary,2343,1,0.19242635,2
46,self-employed,married,tertiary,137,0,0.17836945,2
51,blue-collar,married,primary,173,0,0.1137334,1
56,admin.,married,secondary,45,1,0.13204281,1
41,technician,married,secondary,1270,1,0.20296285,2
46,management,divorced,secondary,16,0,0.16696183,1
57,retired,married,secondary,486,0,0.12496127,1
42,management,single,secondary,50,0,0.22704399,3
30,technician,married,secondary,152,0,0.14814872,1
60,admin.,married,secondary,290,0,0.2236693,3
60,blue-collar,married,unknown,54,0,0.19785964,2
57,entrepreneur,divorced,secondary,-37,0,0.21345589,3
36,management,married,tertiary,101,0,0.17287017,2
55,blue-collar,married,secondary,383,0,0.15345168,1
60,retired,married,tertiary,81,0,0.246806,3
39,technician,married,secondary,0,0,0.11817392,1
46,management,married,tertiary,229,0,0.17653878,2
44,blue-collar,married,secondary,-674,0,0.097240776,1
53,blue-collar,married,primary,90,0,0.13132058,1
52,blue-collar,married,primary,128,0,0.12331897,1
59,blue-collar,married,primary,179,0,0.12346853,1
27,technician,single,tertiary,0,0,0.22701998,3
44,blue-collar,married,secondary,54,0,0.15125297,1
47,technician,married,tertiary,151,0,0.18171765,2
34,admin.,married,secondary,61,0,0.16289628,1
59,retired,single,secondary,30,0,0.16545787,1
45,management,married,tertiary,523,0,0.17422579,2
29,services,divorced,secondary,31,0,0.18610546,2
46,technician,divorced,secondary,79,0,0.21606383,3
56,self-employed,married,primary,-34,0,0.07243131,1
36,blue-collar,married,primary,448,0,0.14406085,1
59,retired,divorced,primary,81,0,0.18044204,2
44,blue-collar,married,secondary,144,0,0.14763597,1
41,admin.,married,secondary,351,0,0.15325405,1
33,management,single,tertiary,-67,0,0.18011409,2
59,management,divorced,tertiary,262,0,0.2743018,4
57,technician,married,primary,0,0,0.1029349,1
56,technician,divorced,unknown,56,0,0.16815253,2
51,blue-collar,married,secondary,26,0,0.10121906,1
34,admin.,married,unknown,3,0,0.10824125,1
43,services,married,secondary,41,0,0.119797826,1
52,technician,married,tertiary,7,0,0.13612504,1
33,technician,single,secondary,105,0,0.21402666,3
29,admin.,single,secondary,818,0,0.25480828,4
34,services,married,secondary,-16,0,0.12364788,1
31,blue-collar,married,secondary,0,0,0.12047989,1
55,services,married,secondary,2476,1,0.18120556,2
55,management,married,unknown,1185,0,0.19478114,2
32,admin.,single,secondary,217,0,0.22037704,3
38,technician,single,secondary,1685,0,0.27151436,4
55,admin.,single,secondary,802,0,0.18413085,2
28,unemployed,single,tertiary,0,0,0.22929336,3
23,blue-collar,married,secondary,94,0,0.16912965,2
32,technician,single,secondary,0,0,0.17046185,2
43,services,single,unknown,0,0,0.16652621,1
32,blue-collar,married,secondary,517,0,0.16171686,1
46,blue-collar,married,secondary,265,0,0.15291241,1
53,housemaid,divorced,primary,947,0,0.19103211,2
34,self-employed,single,secondary,3,0,0.16271302,1
57,unemployed,married,tertiary,42,0,0.18404192,2
37,blue-collar,married,secondary,37,0,0.109666385,1
59,blue-collar,married,secondary,57,0,0.14955358,1
33,services,married,secondary,22,0,0.0963033,1
56,blue-collar,divorced,primary,8,0,0.14237534,1
48,unemployed,married,secondary,293,0,0.15602337,1
43,services,married,primary,3,0,0.10418915,1
54,blue-collar,married,primary,348,0,0.11275918,1
51,blue-collar,married,unknown,-19,0,0.09162206,1
26,student,single,secondary,0,0,0.1891984,2
40,management,married,tertiary,-4,0,0.14781329,1
39,management,married,secondary,18,0,0.09856276,1
50,technician,married,primary,139,0,0.1275886,1
41,services,married,secondary,0,0,0.11751537,1
51,blue-collar,married,unknown,1883,0,0.18692024,2
60,retired,divorced,secondary,216,0,0.2974631,5
52,blue-collar,married,secondary,782,0,0.1569779,1
48,blue-collar,married,secondary,904,0,0.16110641,1
48,services,married,unknown,1705,0,0.18894237,2
39,technician,single,tertiary,47,0,0.2334916,3
47,services,single,secondary,176,0,0.18412168,2
40,blue-collar,married,secondary,1225,0,0.19467205,2
45,technician,married,secondary,86,0,0.14872749,1
26,admin.,single,secondary,82,0,0.2432369,3
52,management,married,tertiary,271,0,0.15926443,1
54,technician,married,secondary,1378,0,0.18035254,2
54,admin.,married,tertiary,184,1,0.17292373,2
50,blue-collar,married,primary,0,0,0.095973596,1
35,blue-collar,married,secondary,0,0,0.1224799,1
44,services,married,secondary,1357,0,0.18510263,2
53,entrepreneur,married,unknown,19,0,0.092277646,1
35,retired,single,primary,434,0,0.21065521,2
60,admin.,divorced,secondary,92,0,0.30945152,5
53,admin.,divorced,secondary,1151,0,0.25783592,4
48,unemployed,married,secondary,41,0,0.13310489,1
34,technician,married,secondary,51,0,0.14787266,1
54,services,married,secondary,214,0,0.12370765,1
51,management,married,secondary,1161,0,0.17418955,2
31,services,married,tertiary,37,0,0.14420916,1
35,technician,divorced,secondary,787,0,0.25672507,4
35,services,married,secondary,59,0,0.15583827,1
38,technician,married,secondary,253,0,0.1594201,1
36,admin.,married,tertiary,211,0,0.18520057,2
58,retired,married,primary,235,0,0.12560081,1
40,services,divorced,unknown,4384,0,0.35208336,6
54,management,married,secondary,4080,0,0.2168088,3
34,blue-collar,single,secondary,53,0,0.20673834,2
31,management,single,tertiary,0,0,0.20174737,2
51,retired,married,secondary,2127,0,0.17668381,2
33,management,married,tertiary,377,0,0.18314102,2
55,management,married,tertiary,73,0,0.14203799,1
42,admin.,married,secondary,445,0,0.15439093,1
34,blue-collar,married,secondary,243,0,0.16307107,1
33,blue-collar,single,secondary,307,0,0.23248048,3
38,services,married,secondary,155,0,0.15466133,1
50,technician,divorced,tertiary,173,0,0.2171829,3
43,management,married,tertiary,400,0,0.17601027,2
61,blue-collar,divorced,primary,1428,0,0.36698577,6
47,admin.,married,secondary,219,0,0.14925629,1
48,self-employed,married,tertiary,7,0,0.118942864,1
44,blue-collar,married,secondary,575,0,0.1605535,1
35,student,single,unknown,298,0,0.22478741,3
35,services,married,secondary,0,0,0.12344103,1
50,services,married,secondary,5699,0,0.16254629,1
41,management,married,tertiary,176,0,0.1640004,1
41,management,married,tertiary,517,0,0.18293448,2
39,services,single,unknown,257,0,0.22911958,3
42,retired,married,secondary,56,0,0.13523582,1
38,blue-collar,married,secondary,-390,0,0.07729687,1
53,retired,married,secondary,330,0,0.13164078,1
59,housemaid,divorced,primary,195,0,0.1536026,1
36,services,married,secondary,301,0,0.16148736,1
54,blue-collar,married,primary,-41,0,0.09556997,1
40,technician,married,tertiary,483,0,0.18571612,2
47,unknown,married,unknown,28,0,0.09009118,1
53,unemployed,married,unknown,13,0,0.10343153,1
46,housemaid,married,primary,965,0,0.12851395,1
39,management,married,tertiary,378,0,0.16200995,1
40,unemployed,married,secondary,219,0,0.17285441,2
28,blue-collar,married,primary,324,0,0.15054068,1
35,entrepreneur,divorced,secondary,-69,0,0.17122385,2
55,retired,married,secondary,0,0,0.12758142,1
43,technician,divorced,unknown,205,0,0.20366041,2
48,blue-collar,married,primary,278,0,0.12127832,1
58,management,married,unknown,1065,0,0.15959947,1
33,management,single,tertiary,34,0,0.18009773,2
36,blue-collar,married,unknown,1033,0,0.21605116,3
53,services,divorced,secondary,1467,0,0.25050405,3
47,blue-collar,married,primary,-12,0,0.10699166,1
31,services,married,secondary,388,0,0.15981509,1
57,entrepreneur,married,secondary,294,0,0.12707138,1
53,blue-collar,married,unknown,1827,0,0.20706914,2
55,blue-collar,married,primary,627,0,0.14094315,1
45,blue-collar,married,primary,25,0,0.09569433,1
53,admin.,divorced,secondary,315,0,0.19764698,2
37,blue-collar,married,primary,0,0,0.10691865,1
44,admin.,divorced,secondary,66,0,0.21452703,3
49,blue-collar,divorced,primary,-9,0,0.18279028,2
46,technician,married,secondary,349,0,0.14926705,1
43,entrepreneur,married,unknown,100,0,0.15477878,1
38,admin.,married,secondary,0,0,0.12554479,1
43,technician,married,secondary,434,0,0.15309748,1
49,management,married,tertiary,3237,0,0.22558609,3
42,management,married,unknown,275,0,0.17586567,2
22,blue-collar,single,secondary,0,0,0.19156078,2
40,management,married,tertiary,207,0,0.17815836,2
39,blue-collar,married,secondary,483,0,0.15903322,1
51,services,married,secondary,2248,0,0.16243927,1
49,admin.,married,secondary,428,0,0.13950291,1
53,blue-collar,married,secondary,0,0,0.11823918,1
34,services,single,secondary,0,0,0.17449576,2
33,technician,divorced,secondary,140,0,0.20274232,2
50,management,single,tertiary,297,0,0.22470312,3
39,blue-collar,married,primary,279,0,0.14519723,1
59,entrepreneur,divorced,secondary,901,0,0.26580924,4
30,technician,single,secondary,2573,0,0.27983844,4
36,services,married,secondary,143,0,0.15381758,1
40,blue-collar,married,secondary,475,0,0.15256481,1
53,blue-collar,married,secondary,70,0,0.12485772,1
34,management,single,tertiary,318,0,0.25666746,4
37,technician,married,secondary,275,0,0.15637004,1
42,management,divorced,tertiary,742,0,0.29981935,5
41,entrepreneur,married,primary,236,0,0.15420195,1
30,student,single,tertiary,25,0,0.18038416,2
37,management,single,tertiary,600,0,0.29505798,5
39,admin.,divorced,secondary,-349,0,0.07591815,1
41,blue-collar,married,primary,183,0,0.13320166,1
40,blue-collar,married,primary,0,0,0.10912893,1
42,management,single,tertiary,0,1,0.21088086,2
40,blue-collar,divorced,primary,0,0,0.17682095,2
57,technician,married,secondary,1078,0,0.14972009,1
56,entrepreneur,divorced,secondary,155,0,0.2073162,2
37,admin.,married,secondary,190,0,0.14912435,1
59,retired,married,secondary,319,0,0.14764482,1
39,services,divorced,secondary,-185,0,0.19618404,2
49,services,married,secondary,47,0,0.13931657,1
38,services,single,secondary,570,0,0.23440114,3
36,self-employed,married,tertiary,19,0,0.13635758,1
50,blue-collar,married,primary,61,0,0.11677295,1
41,admin.,married,secondary,-62,0,0.09617767,1
54,technician,married,tertiary,258,0,0.16294383,1
58,blue-collar,married,primary,76,0,0.10731138,1
30,blue-collar,single,secondary,0,0,0.17716148,2
33,admin.,single,secondary,352,0,0.2215082,3
47,admin.,married,secondary,368,0,0.14498246,1
50,technician,single,tertiary,339,0,0.22595884,3
32,blue-collar,married,secondary,1331,0,0.18574314,2
40,self-employed,married,secondary,672,0,0.1831649,2
37,management,married,tertiary,58,0,0.17238443,2
54,technician,single,unknown,447,0,0.1820133,2
24,student,single,secondary,423,0,0.2399336,3
54,management,married,tertiary,0,0,0.14186329,1
34,technician,married,secondary,19,0,0.09389058,1
56,technician,divorced,primary,13,0,0.1379896,1
31,blue-collar,single,secondary,3,0,0.18353908,2
24,student,single,secondary,82,0,0.21958205,3
42,blue-collar,divorced,primary,28,0,0.163165,1
57,technician,married,secondary,792,0,0.15314783,1
42,blue-collar,married,unknown,408,0,0.1469175,1
51,admin.,married,secondary,531,0,0.1322673,1
57,retired,married,secondary,211,0,0.1219011,1
36,services,single,secondary,62,0,0.21259934,2
53,services,married,unknown,257,0,0.134894,1
50,technician,married,secondary,1234,0,0.16482389,1
54,management,married,tertiary,313,0,0.15098262,1
55,blue-collar,married,secondary,89,0,0.11980399,1
44,blue-collar,married,secondary,129,0,0.14152226,1
43,management,married,unknown,0,0,0.100997776,1
56,admin.,married,secondary,353,0,0.12963305,1
54,technician,married,unknown,851,0,0.14920102,1
55,services,divorced,primary,96,0,0.14036705,1
37,services,divorced,secondary,398,0,0.20520014,2
33,admin.,single,tertiary,193,0,0.2792697,4
46,admin.,married,secondary,-358,0,0.06963058,1
36,blue-collar,married,secondary,539,0,0.14626355,1
51,technician,single,secondary,0,0,0.15247771,1
40,retired,single,primary,0,0,0.15246166,1
42,blue-collar,married,secondary,490,0,0.14887674,1
51,blue-collar,married,secondary,0,0,0.10303901,1
49,blue-collar,married,unknown,403,0,0.13042426,1
48,management,married,secondary,161,0,0.12988596,1
32,technician,divorced,tertiary,2558,0,0.32702178,5
31,admin.,single,secondary,98,0,0.21648942,3
55,management,single,tertiary,115,0,0.20609121,2
40,blue-collar,single,secondary,436,0,0.23642056,3
47,technician,married,tertiary,831,0,0.20603743,2
57,technician,married,unknown,206,0,0.12024933,1
41,blue-collar,married,secondary,290,0,0.1529723,1
48,blue-collar,married,secondary,1,0,0.109097965,1
42,blue-collar,married,unknown,57,0,0.13832326,1
30,blue-collar,single,secondary,-457,0,0.14559904,1
58,management,single,tertiary,1387,0,0.27113828,4
45,management,divorced,tertiary,24598,0,0.27053398,4
49,blue-collar,married,secondary,30,0,0.08854887,1
42,admin.,single,secondary,1022,0,0.28955668,5
53,technician,married,secondary,56,0,0.107644305,1
51,admin.,single,secondary,-2,0,0.1634715,1
32,services,single,secondary,121,0,0.21264134,2
41,blue-collar,single,secondary,842,0,0.28574237,4
43,management,divorced,secondary,693,0,0.27534813,4
40,blue-collar,divorced,secondary,-333,0,0.091566116,1
50,blue-collar,married,primary,1533,0,0.14362688,1
34,management,married,tertiary,46,0,0.15926209,1
53,services,married,unknown,18,0,0.085169144,1
45,technician,married,secondary,44,0,0.11970019,1
39,blue-collar,married,primary,-100,0,0.0820136,1
44,services,married,tertiary,510,0,0.1797479,2
55,management,married,tertiary,685,0,0.17451254,2
46,management,single,tertiary,187,0,0.22848721,3
45,blue-collar,married,secondary,66,0,0.14497891,1
34,admin.,married,secondary,560,0,0.17271358,2
36,blue-collar,married,secondary,0,0,0.11797631,1
59,unknown,divorced,unknown,27,0,0.1366762,1
31,admin.,single,secondary,12,0,0.1536795,1
44,blue-collar,single,secondary,34,0,0.14648475,1
33,entrepreneur,single,tertiary,1068,0,0.30067536,5
40,blue-collar,married,secondary,211,0,0.14244147,1
46,admin.,single,tertiary,377,0,0.24833567,3
48,management,married,tertiary,263,0,0.1564602,1
42,services,married,secondary,1263,0,0.18914391,2
27,services,married,secondary,8,0,0.11419342,1
48,admin.,married,secondary,126,0,0.12473289,1
59,admin.,married,secondary,230,0,0.1472539,1
46,technician,married,tertiary,841,0,0.21495785,3
38,admin.,divorced,secondary,308,0,0.22788876,3
43,management,divorced,tertiary,1,0,0.21496688,3
38,admin.,divorced,tertiary,86,0,0.23621474,3
23,student,single,secondary,157,0,0.21718846,3
34,services,married,secondary,22,0,0.09679159,1
38,admin.,married,secondary,46,0,0.12512569,1
37,blue-collar,married,secondary,1293,0,0.21717755,3
25,admin.,single,secondary,122,0,0.24232261,3
48,blue-collar,married,unknown,131,0,0.14428048,1
49,blue-collar,single,secondary,143,0,0.19693778,2
38,admin.,single,secondary,393,0,0.2523141,4
43,blue-collar,married,primary,98,0,0.14073552,1
33,management,married,tertiary,0,0,0.14787513,1
55,blue-collar,married,secondary,224,0,0.13549285,1
38,blue-collar,married,secondary,757,0,0.18741243,2
49,services,married,secondary,245,0,0.13580015,1
40,management,married,secondary,8486,0,0.1889451,2
43,admin.,married,unknown,350,0,0.17297517,2
38,blue-collar,married,secondary,20,0,0.10098571,1
58,services,married,secondary,1667,0,0.16589722,1
57,technician,married,unknown,345,0,0.13252667,1
32,unemployed,married,secondary,10,0,0.10665195,1
56,management,married,tertiary,830,1,0.1839179,2
58,blue-collar,divorced,unknown,29,0,0.1649139,1
60,retired,divorced,secondary,545,1,0.32003748,5
37,technician,married,tertiary,8730,0,0.21372873,3
46,technician,divorced,tertiary,477,0,0.24352255,3
27,admin.,married,secondary,4,0,0.12667188,1
43,blue-collar,married,secondary,1205,0,0.19002245,2
32,technician,single,secondary,0,0,0.17534673,2
40,admin.,single,secondary,263,0,0.2214356,3
38,admin.,married,secondary,1,0,0.1251896,1
34,blue-collar,married,secondary,283,0,0.17349474,2
47,blue-collar,married,primary,206,0,0.13577841,1
42,housemaid,married,primary,17,0,0.05301874,1
48,technician,married,secondary,141,0,0.13754939,1
29,self-employed,single,tertiary,16,0,0.18947794,2
50,services,married,secondary,206,0,0.13420498,1
52,technician,married,unknown,7,0,0.08600689,1
50,management,married,tertiary,0,0,0.14873447,1
58,retired,married,tertiary,0,0,0.1881623,2
46,blue-collar,divorced,primary,1927,0,0.224384,3
38,technician,married,secondary,284,0,0.15898651,1
46,blue-collar,married,secondary,1660,0,0.18968795,2
32,services,single,secondary,406,0,0.22182569,3
51,blue-collar,married,primary,230,0,0.12669507,1
39,admin.,single,secondary,-25,0,0.17261453,2
48,admin.,married,secondary,182,0,0.1303145,1
36,entrepreneur,married,tertiary,1169,0,0.2222223,3
34,admin.,divorced,secondary,67,0,0.21480216,3
40,technician,married,secondary,77,0,0.16407509,1
43,unemployed,married,secondary,0,0,0.13260178,1
52,blue-collar,divorced,primary,55,0,0.1739315,2
33,technician,married,secondary,72,0,0.15054044,1
49,management,single,tertiary,163,0,0.21466872,3
32,management,single,tertiary,151,0,0.2442326,3
39,admin.,single,secondary,113,0,0.21498734,3
40,blue-collar,married,secondary,0,0,0.118669145,1
38,technician,single,tertiary,9,0,0.1883889,2
43,management,married,secondary,375,0,0.14944984,1
39,services,married,secondary,1142,0,0.19419473,2
54,blue-collar,married,primary,2102,0,0.14625545,1
38,technician,single,tertiary,4325,0,0.37550163,7
40,blue-collar,married,secondary,217,0,0.15607457,1
55,admin.,married,secondary,131,0,0.13295133,1
42,management,married,tertiary,1680,0,0.21914707,3
39,blue-collar,married,secondary,0,0,0.118669145,1
40,blue-collar,married,primary,46,0,0.12521416,1
32,blue-collar,married,secondary,320,0,0.15617874,1
55,admin.,married,secondary,183,0,0.13337377,1
45,blue-collar,married,secondary,39,0,0.1462538,1
35,management,single,tertiary,560,0,0.2665467,4
58,technician,divorced,secondary,469,0,0.23166753,3
35,admin.,married,secondary,530,0,0.16507144,1
49,services,married,primary,61,0,0.12302032,1
34,technician,single,tertiary,242,0,0.24798945,3
36,blue-collar,married,secondary,139,0,0.15429932,1
24,self-employed,single,secondary,0,0,0.1838689,2
34,technician,married,secondary,367,0,0.16088037,1
51,admin.,divorced,secondary,228,0,0.19822854,2
39,technician,single,unknown,45248,1,0.33573362,6
50,self-employed,married,unknown,-84,0,0.07697219,1
32,services,single,secondary,310,0,0.22798209,3
42,blue-collar,married,unknown,132,0,0.16084245,1
50,technician,married,secondary,797,0,0.17504591,2
40,services,married,secondary,71,0,0.1626011,1
46,management,divorced,unknown,2,0,0.16926584,2
37,management,married,tertiary,231,0,0.16302569,1
34,blue-collar,married,secondary,270,0,0.15215367,1
44,blue-collar,married,secondary,274,0,0.14675082,1
40,admin.,single,secondary,-109,0,0.14899963,1
37,technician,married,secondary,1,1,0.11547304,1
33,blue-collar,single,secondary,-60,0,0.15753242,1
35,blue-collar,married,secondary,89,0,0.15131952,1
58,blue-collar,divorced,secondary,-11,0,0.20144424,2
39,blue-collar,married,primary,0,0,0.1058249,1
43,blue-collar,married,secondary,-509,0,0.105199896,1
39,unemployed,married,primary,408,0,0.15943955,1
36,services,single,primary,58,0,0.1973662,2
57,retired,single,secondary,1640,0,0.18675877,2
36,admin.,single,secondary,20,0,0.15700305,1
50,blue-collar,married,primary,71,0,0.12168472,1
55,blue-collar,married,secondary,52,0,0.12856682,1
44,self-employed,married,tertiary,292,0,0.18265356,2
44,services,divorced,secondary,424,0,0.21679808,3
39,housemaid,single,primary,109,0,0.14388627,1
46,blue-collar,married,unknown,1044,0,0.19213195,2
39,blue-collar,married,secondary,983,0,0.21004586,2
34,admin.,married,secondary,869,1,0.23806992,3
40,blue-collar,married,primary,668,0,0.1642179,1
50,management,married,tertiary,964,0,0.19554114,2
31,management,single,secondary,301,0,0.22937043,3
37,admin.,single,secondary,140,0,0.21635982,3
39,management,single,secondary,1877,0,0.26935998,4
51,blue-collar,married,primary,1127,0,0.15140238,1
41,technician,married,secondary,871,0,0.1992229,2
41,technician,married,secondary,767,0,0.17189161,2
43,blue-collar,married,secondary,0,0,0.12585115,1
30,services,single,secondary,209,0,0.22021845,3
54,management,divorced,primary,0,0,0.15871203,1
43,blue-collar,divorced,secondary,110,0,0.20914477,2
59,management,divorced,tertiary,-76,0,0.25958687,4
47,technician,married,unknown,178,0,0.14735724,1
40,blue-collar,married,primary,-66,0,0.08514225,1
32,technician,married,secondary,0,0,0.11501123,1
29,blue-collar,married,secondary,1,0,0.12343523,1
36,blue-collar,married,secondary,0,0,0.12142961,1
55,unemployed,married,tertiary,5345,0,0.2300626,3
30,blue-collar,divorced,secondary,-209,0,0.1540431,1
39,admin.,single,secondary,0,0,0.16649672,1
39,blue-collar,divorced,secondary,42,0,0.20039016,2
50,blue-collar,divorced,secondary,41,0,0.18889737,2
44,blue-collar,married,secondary,-99,0,0.08869324,1
37,technician,single,secondary,17,0,0.15333782,1
46,admin.,married,primary,276,0,0.10907632,1
32,technician,single,unknown,-170,0,0.116750024,1
37,management,single,tertiary,230,0,0.21750478,3
29,blue-collar,married,secondary,9,0,0.10512624,1
41,blue-collar,married,secondary,946,0,0.19579697,2
45,blue-collar,married,primary,1297,0,0.16633634,1
57,retired,divorced,secondary,-331,0,0.12664442,1
48,blue-collar,single,secondary,44,0,0.1799055,2
60,retired,married,secondary,15,0,0.13536611,1
26,admin.,single,secondary,712,0,0.3012842,5
58,retired,married,secondary,5435,0,0.18642505,2
34,admin.,married,secondary,507,0,0.16453,1
55,unemployed,divorced,secondary,387,1,0.21926466,3
41,blue-collar,married,primary,0,0,0.11667911,1
50,management,divorced,secondary,1716,0,0.25415474,4
49,entrepreneur,married,secondary,167,0,0.13914992,1
44,admin.,married,unknown,40,0,0.1184674,1
44,blue-collar,married,primary,148,0,0.14070089,1
31,technician,married,secondary,17,0,0.09680216,1
34,blue-collar,single,tertiary,1011,0,0.30163515,5
46,management,single,unknown,1527,0,0.28257075,4
42,management,married,tertiary,744,0,0.23745498,3
52,admin.,married,secondary,484,0,0.14035174,1
29,management,single,tertiary,0,0,0.21481508,3
53,retired,married,primary,136,0,0.11821548,1
43,blue-collar,married,secondary,1335,0,0.19063656,2
38,management,married,secondary,517,0,0.15215248,1
46,management,married,tertiary,459,0,0.17638452,2
48,management,divorced,unknown,549,0,0.21674614,3
30,admin.,divorced,secondary,83,0,0.2071849,2
44,blue-collar,married,primary,213,0,0.15032747,1
31,housemaid,married,primary,203,0,0.08912194,1
42,services,single,secondary,518,0,0.22944203,3
40,management,single,tertiary,3877,0,0.36237353,6
52,admin.,married,secondary,1236,0,0.18011369,2
45,blue-collar,divorced,secondary,756,0,0.25875205,4
48,blue-collar,married,secondary,157,0,0.13897564,1
45,blue-collar,married,primary,-66,0,0.0831377,1
34,blue-collar,married,unknown,245,0,0.16984418,2
34,blue-collar,married,primary,-144,0,0.074298866,1
46,blue-collar,married,secondary,71,0,0.14612797,1
49,services,divorced,secondary,505,0,0.2114983,2
50,technician,married,primary,249,0,0.1293418,1
34,admin.,single,secondary,0,0,0.17168306,2
40,unemployed,single,secondary,11,0,0.16940789,2
36,admin.,married,secondary,639,0,0.18971981,2
59,blue-collar,divorced,unknown,124,0,0.2242103,3
45,blue-collar,married,secondary,82,0,0.14932907,1
36,self-employed,married,tertiary,107,0,0.18483382,2
56,services,married,secondary,473,0,0.13578805,1
42,services,divorced,secondary,372,0,0.19920567,2
30,admin.,married,secondary,46,0,0.13613018,1
30,student,single,tertiary,34,0,0.19171841,2
47,self-employed,married,unknown,935,0,0.19221236,2
33,blue-collar,married,secondary,-10,0,0.11895252,1
36,admin.,married,secondary,-106,0,0.09076378,1
39,services,divorced,primary,471,0,0.20758714,2
56,admin.,divorced,secondary,778,0,0.2225732,3
39,blue-collar,divorced,unknown,170,0,0.2244681,3
42,technician,married,secondary,315,0,0.1505089,1
52,blue-collar,married,secondary,3165,0,0.21064635,2
36,admin.,divorced,secondary,131,0,0.21769145,3
35,entrepreneur,married,secondary,204,0,0.16512696,1
47,technician,married,secondary,83,0,0.13725403,1
59,services,divorced,secondary,0,0,0.2292488,3
57,blue-collar,married,primary,5431,0,0.1288765,1
38,management,married,unknown,1759,0,0.20829095,2
46,unemployed,married,secondary,-125,0,0.078351386,1
34,blue-collar,married,secondary,0,0,0.12815523,1
